0 0.003
0.001 0.006
0.002 0.00900001
0.003 0.012
0.004 0.015
0.005 0.0180001
0.006 0.0210001
0.007 0.0240001
0.008 0.0270002
0.009 0.0300003
0.01 0.0330004
0.011 0.0360005
0.012 0.0390006
0.013 0.0420008
0.014 0.045001
0.015 0.0480012
0.016 0.0510015
0.017 0.0540018
0.018 0.0570021
0.019 0.0600025
0.02 0.0630029
0.021 0.0660033
0.022 0.0690038
0.023 0.0720043
0.024 0.0750049
0.025 0.0780055
0.026 0.0810062
0.027 0.0840069
0.028 0.0870077
0.029 0.0900085
0.03 0.0930094
0.031 0.0960104
0.032 0.0990114
0.033 0.102013
0.034 0.105014
0.035 0.108015
0.036 0.111016
0.037 0.114018
0.038 0.117019
0.039 0.120021
0.04 0.123022
0.041 0.126024
0.042 0.129026
0.043 0.132027
0.044 0.135029
0.045 0.138031
0.046 0.141034
0.047 0.144036
0.048 0.147038
0.049 0.15004
